Level	Rule Name	Subject	Property	Value
ERROR	multiple_labels	RO:0002160	rdfs:label	only_in_taxon	
ERROR	multiple_labels	RO:0002202	rdfs:label	develops from@en	
ERROR	multiple_labels	RO:0002202	rdfs:label	develops_from	
ERROR	multiple_labels	RO:0002211	rdfs:label	regulates@en	
ERROR	multiple_labels	RO:0002211	rdfs:label	regulates (processual)	
ERROR	multiple_labels	RO:0002219	rdfs:label	surrounded by	
ERROR	multiple_labels	RO:0002219	rdfs:label	surrounded by@en	
ERROR	multiple_labels	RO:0002220	rdfs:label	adjacent to@en	
ERROR	multiple_labels	RO:0002220	rdfs:label	adjacent_to	
ERROR	multiple_labels	RO:0002258	rdfs:label	developmentally preceded by@en	
ERROR	multiple_labels	RO:0002258	rdfs:label	developmentally_preceded_by	
ERROR	multiple_labels	RO:0002303	rdfs:label	has habitat	
ERROR	multiple_labels	RO:0002303	rdfs:label	has habitat@en	
ERROR	multiple_labels	RO:0002448	rdfs:label	activity directly regulates activity of	
ERROR	multiple_labels	RO:0002448	rdfs:label	directly regulates activity of	
ERROR	multiple_labels	RO:0002449	rdfs:label	activity directly negatively regulates activity of	
ERROR	multiple_labels	RO:0002449	rdfs:label	directly negatively regulates activity of	
ERROR	multiple_labels	RO:0002450	rdfs:label	activity directly positively regulates activity of	
ERROR	multiple_labels	RO:0002450	rdfs:label	directly positively regulates activity of	
ERROR	multiple_labels	RO:0002506	rdfs:label	causal relation between entities	
ERROR	multiple_labels	RO:0002506	rdfs:label	causal relation between material entities	
WARN	annotation_whitespace	BFO:0000002	IAO:0000602	(forall (x y) (if (and (Continuant x) (exists (t) (continuantPartOfAt y x t))) (Continuant y))) // axiom label in BFO2 CLIF: [009-002] 	
WARN	annotation_whitespace	BFO:0000002	IAO:0000602	(forall (x y) (if (and (Continuant x) (exists (t) (hasContinuantPartOfAt y x t))) (Continuant y))) // axiom label in BFO2 CLIF: [126-001] 	
WARN	annotation_whitespace	BFO:0000002	IAO:0000602	(forall (x) (if (Continuant x) (Entity x))) // axiom label in BFO2 CLIF: [008-002] 	
WARN	annotation_whitespace	BFO:0000002	IAO:0000602	(forall (x) (if (Material Entity x) (exists (t) (and (TemporalRegion t) (existsAt x t))))) // axiom label in BFO2 CLIF: [011-002] 	
WARN	annotation_whitespace	BFO:0000003	IAO:0000602	(forall (x) (if (Occurrent x) (exists (r) (and (SpatioTemporalRegion r) (occupiesSpatioTemporalRegion x r))))) // axiom label in BFO2 CLIF: [108-001] 	
WARN	annotation_whitespace	BFO:0000003	IAO:0000602	(forall (x) (iff (Occurrent x) (and (Entity x) (exists (y) (temporalPartOf y x))))) // axiom label in BFO2 CLIF: [079-001] 	
WARN	annotation_whitespace	BFO:0000004	IAO:0000602	(forall (x t) (if (IndependentContinuant x) (exists (r) (and (SpatialRegion r) (locatedInAt x r t))))) // axiom label in BFO2 CLIF: [134-001] 	
WARN	annotation_whitespace	BFO:0000004	IAO:0000602	(forall (x t) (if (and (IndependentContinuant x) (existsAt x t)) (exists (y) (and (Entity y) (specificallyDependsOnAt y x t))))) // axiom label in BFO2 CLIF: [018-002] 	
WARN	annotation_whitespace	BFO:0000004	IAO:0000602	(iff (IndependentContinuant a) (and (Continuant a) (not (exists (b t) (specificallyDependsOnAt a b t))))) // axiom label in BFO2 CLIF: [017-002] 	
WARN	annotation_whitespace	BFO:0000015	IAO:0000602	(iff (Process a) (and (Occurrent a) (exists (b) (properTemporalPartOf b a)) (exists (c t) (and (MaterialEntity c) (specificallyDependsOnAt a c t))))) // axiom label in BFO2 CLIF: [083-003] 	
WARN	annotation_whitespace	BFO:0000017	IAO:0000602	(forall (x t) (if (RealizableEntity x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (bearerOfAt y x t))))) // axiom label in BFO2 CLIF: [060-002] 	
WARN	annotation_whitespace	BFO:0000017	IAO:0000602	(forall (x) (if (RealizableEntity x) (and (SpecificallyDependentContinuant x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (inheresIn x y)))))) // axiom label in BFO2 CLIF: [058-002] 	
WARN	annotation_whitespace	BFO:0000020	IAO:0000602	(iff (SpecificallyDependentContinuant a) (and (Continuant a) (forall (t) (if (existsAt a t) (exists (b) (and (IndependentContinuant b) (not (SpatialRegion b)) (specificallyDependsOnAt a b t))))))) // axiom label in BFO2 CLIF: [050-003] 	
WARN	annotation_whitespace	BFO:0000023	IAO:0000602	(forall (x) (if (Role x) (RealizableEntity x))) // axiom label in BFO2 CLIF: [061-001] 	
WARN	annotation_whitespace	BFO:0000027	IAO:0000116	An entity a is an object aggregate if and only if there is a mutually exhaustive and pairwise disjoint partition of a into objects 	
WARN	annotation_whitespace	BFO:0000027	IAO:0000602	(forall (x) (if (ObjectAggregate x) (and (MaterialEntity x) (forall (t) (if (existsAt x t) (exists (y z) (and (Object y) (Object z) (memberPartOfAt y x t) (memberPartOfAt z x t) (not (= y z)))))) (not (exists (w t_1) (and (memberPartOfAt w x t_1) (not (Object w)))))))) // axiom label in BFO2 CLIF: [025-004] 	
WARN	annotation_whitespace	BFO:0000029	IAO:0000602	(forall (x) (if (Site x) (ImmaterialEntity x))) // axiom label in BFO2 CLIF: [034-002] 	
WARN	annotation_whitespace	BFO:0000031	IAO:0000602	(iff (GenericallyDependentContinuant a) (and (Continuant a) (exists (b t) (genericallyDependsOnAt a b t)))) // axiom label in BFO2 CLIF: [074-001] 	
WARN	annotation_whitespace	BFO:0000040	IAO:0000602	(forall (x) (if (MaterialEntity x) (IndependentContinuant x))) // axiom label in BFO2 CLIF: [019-002] 	
WARN	annotation_whitespace	BFO:0000040	IAO:0000602	(forall (x) (if (and (Entity x) (exists (y t) (and (MaterialEntity y) (continuantPartOfAt x y t)))) (MaterialEntity x))) // axiom label in BFO2 CLIF: [021-002] 	
WARN	annotation_whitespace	BFO:0000040	IAO:0000602	(forall (x) (if (and (Entity x) (exists (y t) (and (MaterialEntity y) (continuantPartOfAt y x t)))) (MaterialEntity x))) // axiom label in BFO2 CLIF: [020-002] 	
WARN	annotation_whitespace	ENVO:01000303	IAO:0000115	An endolithic environment is an environment that exists within solid rock. 	
WARN	annotation_whitespace	IAO:0000115	IAO:0000116	2012-04-05:    Barry Smith        The official OBI definition, explaining the meaning of a class or property: 'Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions'  is terrible.        Can you fix to something like:        A statement of necessary and sufficient conditions explaining the meaning of an expression referring to a class or property.        Alan Ruttenberg        Your proposed definition is a reasonable candidate, except that it is very common that necessary and sufficient conditions are not given. Mostly they are necessary, occasionally they are necessary and sufficient or just sufficient. Often they use terms that are not themselves defined and so they effectively can't be evaluated by those criteria.        On the specifics of the proposed definition:        We don't have definitions of 'meaning' or 'expression' or 'property'. For 'reference' in the intended sense I think we use the term 'denotation'. For 'expression', I think we you mean symbol, or identifier. For 'meaning' it differs for class and property. For class we want documentation that let's the intended reader determine whether an entity is instance of the class, or not. For property we want documentation that let's the intended reader determine, given a pair of potential relata, whether the assertion that the relation holds is true. The 'intended reader' part suggests that we also specify who, we expect, would be able to understand the definition, and also generalizes over human and computer reader to include textual and logical definition.        Personally, I am more comfortable weakening definition to documentation, with instructions as to what is desirable.        We also have the outstanding issue of how to aim different definitions to different audiences. A clinical audience reading chebi wants a different sort of definition documentation/definition from a chemistry trained audience, and similarly there is a need for a definition that is adequate for an ontologist to work with.  @en	
WARN	annotation_whitespace	IAO:0000424	IAO:0000112	ObjectProperty: RO_0002104    Label: has plasma membrane part    Annotations: IAO_0000424 \"http://purl.obolibrary.org/obo/BFO_0000051 some (http://purl.org/obo/owl/GO#GO_0005886 and http://purl.obolibrary.org/obo/BFO_0000051 some ?Y)\"    @en	
WARN	annotation_whitespace	RO:0001018	IAO:0000116	Intended meaning:    domain: material entity    range: spatial region or site (immaterial continuant)            @en	
WARN	annotation_whitespace	RO:0001901	IAO:0000115	        ## Elucidation        This is used when the statement/axiom is assumed to hold true 'eternally'        ## How to interpret (informal)        First the \"atemporal\" FOL is derived from the OWL using the standard    interpretation. This axiom is temporalized by embedding the axiom    within a for-all-times quantified sentence. The t argument is added to    all instantiation predicates and predicates that use this relation.        ## Example            Class: nucleus        SubClassOf: part_of some cell            forall t :          forall n :            instance_of(n,Nucleus,t)             implies            exists c :              instance_of(c,Cell,t)              part_of(n,c,t)        ## Notes        This interpretation is *not* the same as an at-all-times relation        	
WARN	annotation_whitespace	RO:0002093	rdfs:comment	X ends_during Y iff: ((start(Y) before_or_simultaneous_with end(X)) AND end(X) before_or_simultaneous_with end(Y). @en	
WARN	annotation_whitespace	RO:0002163	IAO:0000116	There are two ways to encode this as a shortcut relation. The other possibility to use an annotation assertion between two classes, and expand this to a disjointness axiom. @en	
WARN	annotation_whitespace	RO:0002215	IAO:0000115	A relation between a material entity (such as a cell) and a process, in which the material entity has the ability to carry out the process. 	
WARN	annotation_whitespace	RO:0002326	IAO:0000232	In the context of the Gene Ontology, contributes_to may be used only with classes from the molecular function ontology. 	
WARN	duplicate_exact_synonym	ENVO:01001052	IAO:0000118	Aerosol (saline)	
WARN	duplicate_exact_synonym	ENVO:01001053	IAO:0000118	Aerosol (saline)	
WARN	missing_definition	BFO:0000006	IAO:0000115		
WARN	missing_definition	BFO:0000019	IAO:0000115		
WARN	missing_definition	BFO:0000024	IAO:0000115		
WARN	missing_definition	BFO:0000030	IAO:0000115		
WARN	missing_definition	BFO:0000141	IAO:0000115		
WARN	missing_definition	BFO:0000179	IAO:0000115		
WARN	missing_definition	BFO:0000180	IAO:0000115		
WARN	missing_definition	CARO:0000000	IAO:0000115		
WARN	missing_definition	CARO:0000003	IAO:0000115		
WARN	missing_definition	CARO:0000006	IAO:0000115		
WARN	missing_definition	CARO:0030000	IAO:0000115		
WARN	missing_definition	CHEBI:138675	IAO:0000115		
WARN	missing_definition	CHEBI:15022	IAO:0000115		
WARN	missing_definition	CHEBI:15377	IAO:0000115		
WARN	missing_definition	CHEBI:15379	IAO:0000115		
WARN	missing_definition	CHEBI:16526	IAO:0000115		
WARN	missing_definition	CHEBI:17891	IAO:0000115		
WARN	missing_definition	CHEBI:17997	IAO:0000115		
WARN	missing_definition	CHEBI:23014	IAO:0000115		
WARN	missing_definition	CHEBI:23114	IAO:0000115		
WARN	missing_definition	CHEBI:23117	IAO:0000115		
WARN	missing_definition	CHEBI:23367	IAO:0000115		
WARN	missing_definition	CHEBI:24431	IAO:0000115		
WARN	missing_definition	CHEBI:24432	IAO:0000115		
WARN	missing_definition	CHEBI:24471	IAO:0000115		
WARN	missing_definition	CHEBI:24651	IAO:0000115		
WARN	missing_definition	CHEBI:24835	IAO:0000115		
WARN	missing_definition	CHEBI:24839	IAO:0000115		
WARN	missing_definition	CHEBI:24866	IAO:0000115		
WARN	missing_definition	CHEBI:25362	IAO:0000115		
WARN	missing_definition	CHEBI:25367	IAO:0000115		
WARN	missing_definition	CHEBI:25701	IAO:0000115		
WARN	missing_definition	CHEBI:25741	IAO:0000115		
WARN	missing_definition	CHEBI:25806	IAO:0000115		
WARN	missing_definition	CHEBI:26710	IAO:0000115		
WARN	missing_definition	CHEBI:26712	IAO:0000115		
WARN	missing_definition	CHEBI:26714	IAO:0000115		
WARN	missing_definition	CHEBI:33242	IAO:0000115		
WARN	missing_definition	CHEBI:33250	IAO:0000115		
WARN	missing_definition	CHEBI:33259	IAO:0000115		
WARN	missing_definition	CHEBI:33262	IAO:0000115		
WARN	missing_definition	CHEBI:33263	IAO:0000115		
WARN	missing_definition	CHEBI:33266	IAO:0000115		
WARN	missing_definition	CHEBI:33267	IAO:0000115		
WARN	missing_definition	CHEBI:33284	IAO:0000115		
WARN	missing_definition	CHEBI:33285	IAO:0000115		
WARN	missing_definition	CHEBI:33296	IAO:0000115		
WARN	missing_definition	CHEBI:33302	IAO:0000115		
WARN	missing_definition	CHEBI:33304	IAO:0000115		
WARN	missing_definition	CHEBI:33465	IAO:0000115		
WARN	missing_definition	CHEBI:33521	IAO:0000115		
WARN	missing_definition	CHEBI:33579	IAO:0000115		
WARN	missing_definition	CHEBI:33582	IAO:0000115		
WARN	missing_definition	CHEBI:33583	IAO:0000115		
WARN	missing_definition	CHEBI:33608	IAO:0000115		
WARN	missing_definition	CHEBI:33674	IAO:0000115		
WARN	missing_definition	CHEBI:33675	IAO:0000115		
WARN	missing_definition	CHEBI:33679	IAO:0000115		
WARN	missing_definition	CHEBI:33692	IAO:0000115		
WARN	missing_definition	CHEBI:33693	IAO:0000115		
WARN	missing_definition	CHEBI:33694	IAO:0000115		
WARN	missing_definition	CHEBI:33839	IAO:0000115		
WARN	missing_definition	CHEBI:33958	IAO:0000115		
WARN	missing_definition	CHEBI:35479	IAO:0000115		
WARN	missing_definition	CHEBI:36093	IAO:0000115		
WARN	missing_definition	CHEBI:36342	IAO:0000115		
WARN	missing_definition	CHEBI:36357	IAO:0000115		
WARN	missing_definition	CHEBI:36902	IAO:0000115		
WARN	missing_definition	CHEBI:36908	IAO:0000115		
WARN	missing_definition	CHEBI:36962	IAO:0000115		
WARN	missing_definition	CHEBI:36963	IAO:0000115		
WARN	missing_definition	CHEBI:37176	IAO:0000115		
WARN	missing_definition	CHEBI:37577	IAO:0000115		
WARN	missing_definition	CHEBI:37578	IAO:0000115		
WARN	missing_definition	CHEBI:38702	IAO:0000115		
WARN	missing_definition	CHEBI:46662	IAO:0000115		
WARN	missing_definition	CHEBI:50860	IAO:0000115		
WARN	missing_definition	CHEBI:50906	IAO:0000115		
WARN	missing_definition	CHEBI:51086	IAO:0000115		
WARN	missing_definition	CHEBI:51143	IAO:0000115		
WARN	missing_definition	CHEBI:52211	IAO:0000115		
WARN	missing_definition	CHEBI:52625	IAO:0000115		
WARN	missing_definition	CHEBI:59999	IAO:0000115		
WARN	missing_definition	CHEBI:64708	IAO:0000115		
WARN	missing_definition	CHEBI:72695	IAO:0000115		
WARN	missing_definition	CHEBI:76413	IAO:0000115		
WARN	missing_definition	CHEBI:78295	IAO:0000115		
WARN	missing_definition	ENVO:00000000	IAO:0000115		
WARN	missing_definition	ENVO:00000240	IAO:0000115		
WARN	missing_definition	ENVO:00002030	IAO:0000115		
WARN	missing_definition	ENVO:01001476	IAO:0000115		
WARN	missing_definition	FOODON:00001714	IAO:0000115		
WARN	missing_definition	FOODON:00002403	IAO:0000115		
WARN	missing_definition	FOODON:03411041	IAO:0000115		
WARN	missing_definition	FOODON:03412972	IAO:0000115		
WARN	missing_definition	GO:0003674	IAO:0000115		
WARN	missing_definition	GO:0003824	IAO:0000115		
WARN	missing_definition	GO:0004872	IAO:0000115		
WARN	missing_definition	GO:0005102	IAO:0000115		
WARN	missing_definition	GO:0005488	IAO:0000115		
WARN	missing_definition	GO:0005515	IAO:0000115		
WARN	missing_definition	GO:0008152	IAO:0000115		
WARN	missing_definition	GO:0009987	IAO:0000115		
WARN	missing_definition	GO:0016301	IAO:0000115		
WARN	missing_definition	GO:0016740	IAO:0000115		
WARN	missing_definition	GO:0016772	IAO:0000115		
WARN	missing_definition	GO:0030545	IAO:0000115		
WARN	missing_definition	GO:0044237	IAO:0000115		
WARN	missing_definition	GO:0048018	IAO:0000115		
WARN	missing_definition	GO:0050896	IAO:0000115		
WARN	missing_definition	GO:0060089	IAO:0000115		
WARN	missing_definition	GO:0098772	IAO:0000115		
WARN	missing_definition	IAO:0000114	IAO:0000115		
WARN	missing_definition	NCBITaxon:1	IAO:0000115		
WARN	missing_definition	NCBITaxon:10239	IAO:0000115		
WARN	missing_definition	NCBITaxon:117570	IAO:0000115		
WARN	missing_definition	NCBITaxon:117571	IAO:0000115		
WARN	missing_definition	NCBITaxon:131567	IAO:0000115		
WARN	missing_definition	NCBITaxon:1338369	IAO:0000115		
WARN	missing_definition	NCBITaxon:1437010	IAO:0000115		
WARN	missing_definition	NCBITaxon:2	IAO:0000115		
WARN	missing_definition	NCBITaxon:207598	IAO:0000115		
WARN	missing_definition	NCBITaxon:2157	IAO:0000115		
WARN	missing_definition	NCBITaxon:2759	IAO:0000115		
WARN	missing_definition	NCBITaxon:314146	IAO:0000115		
WARN	missing_definition	NCBITaxon:314293	IAO:0000115		
WARN	missing_definition	NCBITaxon:314295	IAO:0000115		
WARN	missing_definition	NCBITaxon:32523	IAO:0000115		
WARN	missing_definition	NCBITaxon:32524	IAO:0000115		
WARN	missing_definition	NCBITaxon:32525	IAO:0000115		
WARN	missing_definition	NCBITaxon:33090	IAO:0000115		
WARN	missing_definition	NCBITaxon:33154	IAO:0000115		
WARN	missing_definition	NCBITaxon:33208	IAO:0000115		
WARN	missing_definition	NCBITaxon:33213	IAO:0000115		
WARN	missing_definition	NCBITaxon:33511	IAO:0000115		
WARN	missing_definition	NCBITaxon:376913	IAO:0000115		
WARN	missing_definition	NCBITaxon:40674	IAO:0000115		
WARN	missing_definition	NCBITaxon:6072	IAO:0000115		
WARN	missing_definition	NCBITaxon:7711	IAO:0000115		
WARN	missing_definition	NCBITaxon:7742	IAO:0000115		
WARN	missing_definition	NCBITaxon:7776	IAO:0000115		
WARN	missing_definition	NCBITaxon:8287	IAO:0000115		
WARN	missing_definition	NCBITaxon:89593	IAO:0000115		
WARN	missing_definition	NCBITaxon:9347	IAO:0000115		
WARN	missing_definition	NCBITaxon:9443	IAO:0000115		
WARN	missing_definition	NCBITaxon:9526	IAO:0000115		
WARN	missing_definition	NCBITaxon:9604	IAO:0000115		
WARN	missing_definition	NCBITaxon:9605	IAO:0000115		
WARN	missing_definition	NCBITaxon:9606	IAO:0000115		
